,product_url,name_product,rating_product,rating_count_product,quantity_5_star,quantity_4_star,quantity_3_star,quantity_2_star,quantity_1_star,count_cmt,images_video,sold_out,low_price,hight_price,price,inventory,return_7_days,authentic,freeship,shopee_guaranteed,company,shop_name,shopee_mall,shop_total_review,total_products,response_rate,time_response,years_ex,follower
0,https://shopee.vn/Camera-tr%C6%B0%E1%BB%9Bc-Iphone-6S-Plus-i.26132185.4271516095?position=1723,"Yêu Thích
Camera trước Iphone 6S Plus",5.00,1,,,,,,,,7,,,109000.00,48,,,,3 Ngày Trả Hàng / Hoàn Tiền,Phụ Kiện Linh Tâm,shop.uy.tin,False,"4,4k","1,6k",86%,trong vài giờ,4 năm trước,"3,1k"
1,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-SONY-Xperia-XZ3-b%E1%BA%A3n-Qu%E1%BB%91c-t%E1%BA%BF-2-sim-i.69979363.1860009383?position=1724,Điện thoại SONY Xperia XZ3 bản Quốc tế 2 sim,5.00,1,1,0,,,,1,1,5,,,11300000.00,5,,,,3 Ngày Trả Hàng / Hoàn Tiền,sp.groceries,sp.groceries,False,101,11,7%,trong vài phút,3 năm trước,15
2,https://shopee.vn/NGUY%C3%8AN-ZIN-ch%C3%ADnh-h%C3%A3ng-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-c%E1%BB%95-Nokia-N92-i.101617865.4057352147?position=1725,"NGUYÊN ZIN, chính hãng, điện thoại cổ Nokia N92",5.00,1,,,,,,,,2,,,1500000.00,48,,,,3 Ngày Trả Hàng / Hoàn Tiền,115haonam,115haonam,False,93,159,80%,trong vài giờ,35 tháng trước,242
3,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-K%C3%ADch-Sim-2-Sim-2-S%C3%B3ng-Nhanh-G%E1%BB%8Dn-Ti%E1%BB%87n-L%E1%BB%A3i-i.205805670.4742722192?position=1727,Điện Thoại Kích Sim 2 Sim 2 Sóng Nhanh Gọn Tiện Lợi,5.00,1,1,0,,,,0,0,6,,,250000.00,106950,,,,3 Ngày Trả Hàng / Hoàn Tiền,simmaymangiare8888,simmaymangiare8888,False,349,317,68%,trong vài giờ,22 tháng trước,"8,3k"
4,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-nghe-g%E1%BB%8Di-(c%C5%A9)-s%C3%B3ng-kh%E1%BB%8Fe-i.462687508.11535249633?position=1728,Điện thoại nghe gọi (cũ) sóng khỏe,5.00,2,,,,,,,,2,,,79495.00,1,,,,3 Ngày Trả Hàng / Hoàn Tiền,NguyenSangTN202,nguyensang202vntn,False,48,46,87%,trong vài giờ,4 tháng trước,86
5,https://shopee.vn/%C4%90I%E1%BB%86N-THO%E1%BA%A0I-Nokia-1280-k%C3%A8m-pin-s%E1%BA%A1c-b%E1%BA%A3o-h%C3%A0nh-6-TH%C3%81NG-i.117757337.11509475429?position=1729,"Yêu Thích+
ĐIỆN THOẠI Nokia 1280 kèm pin + sạc bảo hành 6 THÁNG",5.00,2,,,,,,,,2,,,179000.00,97,,,,3 Ngày Trả Hàng / Hoàn Tiền,Phụ Kiện Quang Hanh,quanghanh2711,False,"3,1k",103,99%,trong vài phút,33 tháng trước,"5,6k"
6,https://shopee.vn/Qu%E1%BA%A1t-t%E1%BA%A3n-nhi%E1%BB%87t-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-mini-FL01-Led-RGB-i.145181001.10519007974?position=1731,"Yêu Thích+
Quạt tản nhiệt điện thoại mini FL01 Led RGB",5.00,2,2,0,,,,1,0,5,,,145000.00,992,,,,3 Ngày Trả Hàng / Hoàn Tiền,Hà Nội Tech 361,hanoitech361,False,"13,8k",132,99%,trong vài giờ,29 tháng trước,"8,9k"
7,https://shopee.vn/%C4%91i%E1%BB%87n-tho%E1%BA%A1i-oppo-f3-lite-ram-3-b%E1%BB%99-nh%E1%BB%9B-32gb-i.133335212.9689820920?position=1734,điện thoại oppo f3 lite ram 3 bộ nhớ 32gb,5.00,2,,,,,,,,2,,,970000.00,1,,,,3 Ngày Trả Hàng / Hoàn Tiền,phuccon541,phuccon541,False,12,32,75%,trong vài giờ,31 tháng trước,26
8,https://shopee.vn/x%C6%B0%C6%A1ng-loa-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-blackberry-q10-i.58385270.9641843380?position=1735,xương loa điện thoại blackberry q10,5.00,2,2,0,,,,1,1,2,,,50000.00,8,,,,3 Ngày Trả Hàng / Hoàn Tiền,annhien123shop,annhien123shop,False,208,93,51%,trong vài giờ,4 năm trước,110
9,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-OPPO-A33-A33m-ram-2G-16G-Snap-410-M%C3%A0n-5.0-IPS-i.49282974.9384456482?position=1736,"Yêu Thích
Điện thoại OPPO A33 A33m ram 2G 16G - Snap 410 Màn 5.0 IPS",5.00,2,2,0,,,,1,1,7,,,618000.00,67,,,,3 Ngày Trả Hàng / Hoàn Tiền,Thế Linh Store,thelinhstore,False,22k,499,93%,trong vài giờ,4 năm trước,"60,1k"
