,name,price_dis,price_nondis,freeship,rating,rating_count,monthly_sold,store_location,monthly_event,favorite_product,shopee_mall,discount_tag,product_url,image,ShopDacBiet
0,"Miếng dán điện thoại may mắn, lung linh phù hợp các dòng máy",1.400,₫1.400 - ₫6.700,True,4.83,616,"5,4k/tháng",Lào Cai,False,Yêu thích,False,,https://shopee.vn/Mi%E1%BA%BFng-d%C3%A1n-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-may-m%E1%BA%AFn-lung-linh-ph%C3%B9-h%E1%BB%A3p-c%C3%A1c-d%C3%B2ng-m%C3%A1y-i.157579372.6793129121?position=0,https://cf.shopee.vn/file/cd7f36d677941ad531a871a658f86771_tn,False
1,Điện thoại Vivo Y20 (2021) 4GB + 64GB - Hàng chính hãng,3.390.000,₫3.990.000,True,4.95,926,"1,8k/tháng",TP. Hồ Chí Minh,True,,True,"15%
GIẢM",https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Vivo-Y20-(2021)-4GB-64GB-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-i.69897724.9570657944?position=1,https://cf.shopee.vn/file/41694acce229f8102e750ab976683b90_tn,False
2,Apple iPhone 11 64GB,13.990.000,₫21.990.000,True,4.84,1132,"1,1k/tháng",TP. Hồ Chí Minh,True,,True,"36%
GIẢM",https://shopee.vn/Apple-iPhone-11-64GB-i.88201679.5600084939?position=2,https://cf.shopee.vn/file/b107f2e6167adb250100ec4c8d028a57_tn,False
3,"[Hàng Chính Hãng 100%] Nokia 1280, Điện Thoại Nokia1280 Zin Chính Hãng Đủ Phụ Kiện Pin Sài Cả Tuần",239.000,₫239.000,False,5.00,4,763/tháng,Hưng Yên,False,,False,,https://shopee.vn/-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-100-Nokia-1280-%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia1280-Zin-Ch%C3%ADnh-H%C3%A3ng-%C4%90%E1%BB%A7-Ph%E1%BB%A5-Ki%E1%BB%87n-Pin-S%C3%A0i-C%E1%BA%A3-Tu%E1%BA%A7n-i.241243428.12508961420?position=3,https://cf.shopee.vn/file/5d35156b434e236ee552e9eb2ac72429_tn,False
4,Điện Thoại Samsung Galaxy M12 (3GB/32GB) - Hãng Phân Phối Chính Thức,3.490.000,₫3.490.000,True,4.93,715,715/tháng,TP. Hồ Chí Minh,True,,True,,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-M12-(3GB-32GB)-H%C3%A3ng-Ph%C3%A2n-Ph%E1%BB%91i-Ch%C3%ADnh-Th%E1%BB%A9c-i.65589552.6685849255?position=4,https://cf.shopee.vn/file/a277200d45df2ef46c4adafbdb1cd489_tn,False
5,"Điện thoại Mini - L8STAR BM10 - ( Nokia 3310 ) - 2 sim 2 sóng siêu nhỏ - đổi giọng nói - kết nối BT , Nghe Nhạc mp3",42.000,₫42.000 - ₫168.000,True,4.81,688,677/tháng,Nam Định,True,Yêu thích,False,"50%
GIẢM",https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Mini-L8STAR-BM10-(-Nokia-3310-)-2-sim-2-s%C3%B3ng-si%C3%AAu-nh%E1%BB%8F-%C4%91%E1%BB%95i-gi%E1%BB%8Dng-n%C3%B3i-k%E1%BA%BFt-n%E1%BB%91i-BT-Nghe-Nh%E1%BA%A1c-mp3-i.86608834.2106797077?position=5,https://cf.shopee.vn/file/d6035604d00f9870279f0c46db93a723_tn,True
6,"Điện Thoại Nokia 101,Nokia 100, Nokia 105 Zin Chính Hãng Kèm Pin Sạc",133.000,₫133.000 - ₫135.000,True,4.64,2992,665/tháng,Hà Nội,True,Yêu thích,False,"47%
GIẢM",https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia-101-Nokia-100-Nokia-105-Zin-Ch%C3%ADnh-H%C3%A3ng-K%C3%A8m-Pin-S%E1%BA%A1c-i.1657913.1236186398?position=6,https://cf.shopee.vn/file/3a7fe3513b59468fc5d386cc9700ab1b_tn,True
7,Điện thoại OPPO A16 4GB - Hàng chính hãng,3.850.000,₫3.990.000,True,4.96,305,599/tháng,TP. Hồ Chí Minh,True,,True,"4%
GIẢM",https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-OPPO-A16-4GB-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-i.458675969.9272220112?position=7,https://cf.shopee.vn/file/d297f2e64bd193ca3f68d1c4b8205a61_tn,False
8,Điện Thoại Nghe Gọi Nokia 105 Zin Chính Hãng BH 12 Tháng Kèm Pin Sạc,85.000,₫85.000 - ₫119.000,True,4.64,1344,564/tháng,Hà Nội,True,Yêu thích,False,"24%
GIẢM",https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nghe-G%E1%BB%8Di-Nokia-105-Zin-Ch%C3%ADnh-H%C3%A3ng-BH-12-Th%C3%A1ng-K%C3%A8m-Pin-S%E1%BA%A1c-i.1657913.753117458?position=8,https://cf.shopee.vn/file/d0828f31a987d9b1aec969b4c75bbfb1_tn,True
9,Điện Thoại Samsung Galaxy A12 (4GB/128GB) - Hàng Chính Hãng,3.990.000,₫4.290.000,True,4.90,301,534/tháng,TP. Hồ Chí Minh,True,,True,"7%
GIẢM",https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-A12-(4GB-128GB)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.65589552.8407312736?position=9,https://cf.shopee.vn/file/a32f5b85bc709eb6f0bc4265e4d55139_tn,False
